shipper_name,contact_info,phone,status,website_url,company_type,tax_id,insurance_number,payment_terms,rating,max_weight_capacity
TNT,"Hannah Soto, contact@tnt.com",+34 (555) 457-4231,True,https://www.tnt.com,Freight,TAX1988,INS37541,Prepaid,5,2917
HealthCare Transport,"Benjamin Lewis, info@healthcaretransport.com",+44 (129) 739-1271,True,https://www.healthcaretransport.com,Express Delivery,TAX3800,INS72275,Net 60,4,4876
MediCare Logistics,"Christian Butler, support@medicarelogistics.com",+33 (869) 628-6263,True,https://www.medicarelogistics.com,Express Delivery,TAX3933,INS82777,Net 60,2,872
HealthExpress Couriers,"Olivia Dominguez, support@healthexpress.com",+34 (768) 492-8823,True,https://www.healthexpress.com,Freight,TAX7795,INS94934,Net 60,3,631
VitalShip Logistics,"Charles White, contact@vitalship.com",+33 (483) 790-6146,True,https://www.vitalship.com,Courier,TAX9612,INS32445,Cash on Delivery,4,2978
HealthShip Couriers,"Kinsley Chen, contact@healthship.com",+44 (357) 387-4137,True,https://www.healthship.com,Courier,TAX2371,INS73060,Net 60,2,1310
UPS,"Angel Hansen, customerservice@ups.com",+1 (146) 419-3181,True,https://www.ups.com,Freight,TAX4473,INS44173,Cash on Delivery,2,3246
LifeLine Couriers,"Jeremiah Ray, support@lifelinecouriers.com",+1 (627) 519-1707,True,https://www.lifelinecouriers.com,Express Delivery,TAX4248,INS27380,Cash on Delivery,5,3667
BioWay Couriers,"Ellie Chavez, support@biowaycouriers.com",+41 (822) 647-7651,True,https://www.biowaycouriers.com,Logistics,TAX6841,INS55755,Credit,4,1047
FedEx,"John Bradley, help@fedex.com",+33 (856) 268-4838,True,https://www.fedex.com,Courier,TAX4743,INS83770,Cash on Delivery,4,3974
VitalLink Couriers,"Kennedy Witt, support@vitallinkcouriers.com",+44 (584) 418-5548,True,https://www.vitallinkcouriers.com,Express Delivery,TAX6647,INS39651,Prepaid,3,3847
HealthLink Couriers,"Laura Perez, info@healthlinkcouriers.com",+34 (105) 554-7562,True,https://www.healthlinkcouriers.com,Express Delivery,TAX3219,INS46045,Net 60,4,2945
HealthFleet Couriers,"Easton Taylor, contact@healthfleetcouriers.com",+39 (235) 550-1874,True,https://www.healthfleetcouriers.com,Freight,TAX3949,INS72877,Net 30,2,917
MediLink Express,"Gabriella Griffin, info@medilinkexpress.com",+41 (508) 250-3533,True,https://www.medilinkexpress.com,Freight,TAX5259,INS88686,Credit,1,2298
BioExpress Delivery,"Easton Hamilton, service@bioexpress.com",+41 (783) 974-2167,True,https://www.bioexpress.com,Logistics,TAX6476,INS13378,Net 30,4,3882
Vitality Transport,"Lily Johnston, info@vitalitytransport.com",+34 (847) 603-3109,True,https://www.vitalitytransport.com,Logistics,TAX2290,INS73822,Credit,1,4393
MediQuick Logistics,"Khloe Simpson, info@mediquicklogistics.com",+44 (302) 567-5936,True,https://www.mediquicklogistics.com,Courier,TAX7400,INS52375,Net 60,2,2718
HealthLink Logistics,"Evelyn Brooks, contact@healthlinklogistics.com",+33 (450) 600-1456,True,https://www.healthlinklogistics.com,Logistics,TAX4349,INS33736,Net 30,4,1267
HealthWay Express,"Laura Williams, service@healthwayexpress.com",+1 (940) 293-8064,True,https://www.healthwayexpress.com,Logistics,TAX3709,INS84901,Cash on Delivery,2,4826
BioQuick Delivery,"Laura Hill, info@bioquick.com",+44 (763) 604-6542,True,https://www.bioquick.com,Logistics,TAX7401,INS49670,Net 60,1,2182
DPD,"Owen Mendoza, info@dpd.com",+81 (737) 780-6437,True,https://www.dpd.com,Courier,TAX5646,INS92424,Prepaid,2,3907
BioFleet Express,"William Johnston, contact@biofleet.com",+49 (520) 488-7301,True,https://www.biofleet.com,Postal Service,TAX9837,INS53913,Net 60,2,488
MediTrans Express,"Hudson Baker, info@meditransexpress.com",+39 (808) 628-7700,True,https://www.meditransexpress.com,Express Delivery,TAX4199,INS15173,Credit,4,4924
HealthWay Logistics,"Thomas Boyd, service@healthwaylogistics.com",+39 (264) 340-6370,True,https://www.healthwaylogistics.com,Express Delivery,TAX1970,INS52775,Net 60,3,4642
VitalCare Transport,"Robert Reed, service@vitalcaretransport.com",+44 (750) 646-1401,True,https://www.vitalcaretransport.com,Courier,TAX1146,INS99546,Prepaid,3,1000
VitalExpress Couriers,"Easton Franco, contact@vitalexpress.com",+49 (518) 336-4184,True,https://www.vitalexpress.com,Logistics,TAX5013,INS63777,Net 60,3,2568
HealthWay Couriers,"Easton Peters, support@healthwaycouriers.com",+39 (429) 578-7300,True,https://www.healthwaycouriers.com,Freight,TAX6978,INS70031,Cash on Delivery,2,4208
CareShip International,"Reagan Burns, support@careshipintl.com",+81 (774) 730-3676,True,https://www.careshipintl.com,Express Delivery,TAX1818,INS93880,Credit,3,1147
DHL Express,"Naomi Cook, support@dhl.com",+41 (555) 336-6296,True,https://www.dhl.com,Logistics,TAX7593,INS12357,Cash on Delivery,4,510
BioTrans Logistics,"Emma Riley, info@biotranslogistics.com",+44 (923) 736-7906,True,https://www.biotranslogistics.com,Logistics,TAX4087,INS78404,Net 30,5,3043
MediTrans Global,"Adam Vargas, contact@meditransglobal.com",+49 (783) 794-6639,True,https://www.meditransglobal.com,Freight,TAX3750,INS59079,Prepaid,3,1452
PharmaLink Transport,"Brandon Romero, support@pharmalink.com",+41 (794) 570-1009,True,https://www.pharmalink.com,Freight,TAX2539,INS55787,Net 60,1,403
HealthFleet Transport,"Logan Pena, contact@healthfleet.com",+49 (141) 870-5422,True,https://www.healthfleet.com,Freight,TAX8542,INS87197,Net 30,4,3905
LifeLine Logistics,"Carter Bryant, contact@lifelinelogistics.com",+39 (422) 435-5976,True,https://www.lifelinelogistics.com,Logistics,TAX4369,INS37751,Cash on Delivery,1,3438
PharmaCare Express,"Carl Simmons, service@pharmacareexpress.com",+44 (448) 131-4147,True,https://www.pharmacareexpress.com,Freight,TAX2488,INS83635,Credit,2,2167
VitalWay Transport,"Hannah Estrada, info@vitalwaytransport.com",+34 (879) 528-3214,True,https://www.vitalwaytransport.com,Logistics,TAX3640,INS39706,Prepaid,2,3505
PharmaCare Transport,"Ariana Holmes, info@pharmacaretransport.com",+41 (192) 870-5028,True,https://www.pharmacaretransport.com,Postal Service,TAX1313,INS84410,Prepaid,4,3414
MediFleet Express,"Evelyn Robertson, info@medifleet.com",+1 (731) 889-7326,True,https://www.medifleet.com,Courier,TAX1263,INS68020,Net 30,3,4618
PharmaWay Logistics,"Thomas Hicks, info@pharmaway.com",+49 (861) 273-4084,True,https://www.pharmaway.com,Logistics,TAX1941,INS69990,Net 30,3,864
BioCare Logistics,"Charlotte Olson, service@biocarelogistics.com",+1 (978) 187-4709,True,https://www.biocarelogistics.com,Express Delivery,TAX8236,INS83466,Net 60,5,2123
PharmaFleet Express,"Peyton Murray, service@pharmafleet.com",+33 (785) 831-2289,True,https://www.pharmafleet.com,Courier,TAX2696,INS21859,Net 30,1,2876
BioExpress Logistics,"Eleanor Cotton, contact@bioexpresslogistics.com",+34 (475) 730-5615,True,https://www.bioexpresslogistics.com,Freight,TAX4389,INS50558,Net 60,3,3565
MediFleet Logistics,"Hazel Flores, contact@medifleetlogistics.com",+1 (848) 538-2650,True,https://www.medifleetlogistics.com,Express Delivery,TAX4830,INS66118,Net 60,3,342
MedTrans Logistics,"Lily King, support@medtranslogistics.com",+41 (746) 160-8148,True,https://www.medtranslogistics.com,Courier,TAX7173,INS26710,Net 60,3,2821
MediCare Transport,"Addison Pierce, info@medicaretransport.com",+33 (556) 785-5059,True,https://www.medicaretransport.com,Freight,TAX1693,INS15216,Cash on Delivery,4,2866
VitalFleet Transport,"Connor Burnett, info@vitalfleettransport.com",+34 (813) 803-8044,True,https://www.vitalfleettransport.com,Courier,TAX4829,INS95742,Prepaid,5,1231
